bid_item_code,category,description,unit_of_measure
201-00000,201,Clearing and Grubbing,L S
201-00001,201,Clearing and Grubbing,ACRE
201-00002,201,Clearing,L S
201-00005,201,Removal of Debris,L S
201-00010,201,Clearing,LS
201-00816,201,Reset Sign Panel (Special),EACH
202-00000,202,Removal of Structures and Obstructions,L S
202-00001,202,Removal of Structure,EACH
202-00002,202,Removal of Structure (Special),EACH
202-00003,202,Removal of Structure (Special),L S
202-00004,202,Removal of Steel H or Pipe Piling,LF
202-00005,202,Removal of Temporary Supports,L S
202-00006,202,Removal of Temporary Supports,EACH
202-00008,202,Tree Trimming,HOUR
202-00009,202,Tree Trimming,L S
202-00010,202,Removal of Tree,EACH
202-00011,202,Tree Trimming,EACH
202-00012,202,Removal of Tree Stump,EACH
202-00013,202,Removal of Erosion Mat,SY
202-00014,202,Brush Clearing,HOUR
202-00015,202,Removal of Headwall,EACH
202-00016,202,Removal of Tree Support,EACH
202-00019,202,Removal of Inlet,EACH
202-00020,202,Removal of Concrete Box Culvert,EACH
202-00021,202,Removal of Manhole,EACH
202-00022,202,Removal of Headgate,EACH
202-00023,202,Removal of Embankment Protector Type 3,EACH
202-00024,202,Removal of Embankment Protector Type 5,EACH
202-00025,202,Removal of Ditch Lining,LF
202-00026,202,Removal of Slope and Ditch Paving,SY
202-00027,202,Removal of Riprap,SY
202-00029,202,Removal of Gabion,CY
202-00030,202,Removal of Water Service,EACH
202-00031,202,Removal of Fire Hydrant,EACH
202-00032,202,Removal of Valve,EACH
202-00033,202,Removal of Pipe,EACH
202-00035,202,Removal of Pipe,LF
202-00036,202,Removal of Pipe (Special),LF
202-00037,202,Removal of End Section,EACH
202-00038,202,Removal of Structural Plate Pipe,LF
202-00039,202,Removal of Bollard,EACH
202-00040,202,Removal of Electrical Conduit,LF
202-00045,202,Removal of Electrical Equipment,LF
202-00047,202,Removal of Electrical Equipment,L S
202-00050,202,Removal of ITS Node Equipment,L S
202-00055,202,Removal of Fiber Optic Cable,LF
202-00060,202,Removal of Travel Time Indicator,EACH
202-00070,202,Removal of Barricade,EACH
202-00080,202,Removal of Guard Post,EACH
202-00090,202,Removal of Delineator,EACH
202-00100,202,Removal of Dome Channelizing Device,EACH
202-00150,202,Removal of Wall,EACH
202-00155,202,Removal of Wall,LF
202-00160,202,Removal of Wall,SF
202-00165,202,Removal of Wall,L S
202-00170,202,Grinding And Texturing Concrete Pavement,SY
202-00175,202,Removal of Concrete,L S
202-00190,202,Removal of Concrete Median Cover Material,SY
202-00195,202,Removal of Median Cover,SY
202-00200,202,Removal of Sidewalk,SY
202-00201,202,Removal of Curb,LF
202-00202,202,Removal of Gutter,LF
202-00203,202,Removal of Curb and Gutter,LF
202-00204,202,"Removal of Curb, Gutter and Sidewalk",LF
202-00205,202,Removal of Wheel Stop,EACH
202-00206,202,Removal of Concrete Curb Ramp,SY
202-00207,202,Removal of Brick Pavers,SY
202-00210,202,Removal of Concrete Pavement,SY
202-00212,202,Removal of Concrete Pavement (Special),SY
202-00215,202,Removal of Concrete Pavement (Planing),SY
202-00217,202,Remove Concrete Pavement (Planing) (Special),SY
202-00220,202,Removal of Asphalt Mat,SY
202-00226,202,Removal of Asphalt Mat (Special),SY
202-00240,202,Removal of Asphalt Mat (Planing),SY
202-00241,202,Removal of Asphalt Mat (Planing)(Special),CY
202-00245,202,Removal of Asphalt Mat (Planing),TON
202-00246,202,Removal of Asphalt Mat (Planing) (Special),SY
202-00247,202,Removal of Asphalt Mat (Planing),L S
202-00248,202,Removal of Rumble Strips,LF
202-00250,202,Removal of Pavement Marking,SF
202-00251,202,Removal of Pavement Marking (Asphalt Grooving),SF
202-00252,202,Removal of Pavement Marking (Concrete Grooving),SF
202-00254,202,Removal of Pavement Marking (12 Inch),SF
202-00256,202,Removal of Pavement Marking (15 Inch),SF
202-00260,202,Removal of Pavement Marking (On-Call),SF
202-00300,202,Removal of Building(s),L S
202-00400,202,Removal of Bridge,EACH
202-00401,202,Removal of Bridge (Special),EACH
202-00405,202,Removal of Piling,EACH
202-00410,202,Removal of Mat From Bridge,SY
202-00420,202,Removal of Pedestrian Rail,LF
202-00425,202,Removal of Bridge Railing,LF
202-00426,202,Removal of Bridge Railing (Special),LF
202-00440,202,Removal of Existing Tunnel Liner,LF
202-00450,202,Removal of Portions of Present Structure (Class 1),SY
202-00453,202,Removal of Portions of Present Structure (Class 2),SY
202-00454,202,Removal of Portions of Present Structure (Class 2A),SY
202-00456,202,Removal of Portions of Present Structure (Class 2B),SY
202-00457,202,Removal of Portions of Present Structure (Class 2) (Hydrodem,SY
202-00460,202,Removal of Portions of Present Structure (Class 3),SY
202-00462,202,Removal of Portions of Present Structure (Class 3A),SY
202-00466,202,Removal of Portions of Present Structure (Class 4),SY
202-00480,202,Removal of Portions of Present Structure (Special),SY
202-00495,202,Removal of Portions of Present Structure,L S
202-00500,202,Removal of Portions of Present Structure,EACH
202-00502,202,Removal of Portions of Present Structure,CY
202-00503,202,Removal of Portions of Present Structure,SY
202-00504,202,Removal of Expansion Device,LF
202-00510,202,Removal of Roadway Contraction Joint,LF
202-00520,202,Removal of Expansion Joint Material,LF
202-00600,202,Removal of Railroad Appurtenances,L S
202-00610,202,Removal of Railroad Track,LF
202-00620,202,Removal of Railroad Crossover,EACH
202-00621,202,Removal of Railroad Turnout,EACH
202-00700,202,Removal of Light Standard,EACH
202-00705,202,Removal of Light Standard Foundation,EACH
202-00710,202,Removal of Power Pole,EACH
202-00715,202,Removal of Closed Circuit Television Pole,EACH
202-00720,202,Removal of Closed Circuit Camera,EACH
202-00725,202,Removal of Existing Lighting System,L S
202-00750,202,Removal of Luminaire,EACH
202-00800,202,Removal of Overpass Mounted Sign Bracket,EACH
202-00805,202,Removal of Overhead Sign Structure,EACH
202-00806,202,Removal of Walkway,LF
202-00810,202,Removal of Ground Sign,EACH
202-00815,202,Removal of Sign (Special),EACH
202-00818,202,Removal of Steel Sign Ground Stub base (36 Inch),EACH
202-00821,202,Removal of Sign Panel,EACH
202-00823,202,Removal of Dynamic Message Sign,EACH
202-00825,202,Removal of Flashing Beacon,EACH
202-00827,202,Removal of Pull Box,EACH
202-00828,202,Removal of Traffic Signal Equipment,L S
202-00830,202,Removal of Traffic Signal Face,EACH
202-00831,202,Removal of Traffic Signal Head,EACH
202-00832,202,Removal of Sign Panel (Special),EACH
202-00840,202,Removal of Traffic Signal Pole,EACH
202-00842,202,Removal of Mast Arm,EACH
202-00845,202,Removal of Traffic Signal Controller,EACH
202-00848,202,Removal of Traffic Signal Controller and Cabinet,EACH
202-00855,202,Removal of Traffic Signal Controller Cabinet,EACH
202-00858,202,Removal of Pedestal Pole,EACH
202-00860,202,Removal of Pedestrian Push Button,EACH
202-00870,202,Removal of Coordination Unit,EACH
202-00873,202,Removal of Tone Decoder,EACH
202-00875,202,Removal of Dome Channelizing Device,LF
202-00880,202,Removal of Traffic Signal Vehicle Detector Amplifier,EACH
202-00882,202,Removal of Traffic Signal Vehicle Detector (Magnetic Type),EACH
202-00885,202,Removal of Traffic Signal Vehicle Detector (Pressure Type),EACH
202-00888,202,Removal of Video Detection System,EACH
202-00889,202,Removal of Detectable Warning,EACH
202-00890,202,Removal of Span Wire Cable,LF
202-00895,202,Removal of Impact Attenuator,EACH
202-00900,202,Removal of Concrete Footing,EACH
202-00950,202,Removal of Concrete Foundation and Slab,SY
202-01000,202,Removal of Fence,LF
202-01010,202,Removal Of Silt Fence,LF
202-01015,202,Removal of Rockfall Fence,LF
202-01017,202,Removal of Wire Mesh,SF
202-01020,202,Removal of Sound Barrier Fence,LF
202-01030,202,Removal of Road Closure Gate,EACH
202-01035,202,Removal of Gate,EACH
202-01040,202,Removal of HOV Gate,EACH
202-01110,202,Removal of Guardrail Type 1,LF
202-01130,202,Removal of Guardrail Type 3,LF
202-01135,202,Removal of Guardrail Thrie Beam,LF
202-01140,202,Removal of Guardrail Type 4,LF
202-01150,202,Removal of Guardrail Type 5,LF
202-01170,202,Removal of Guardrail Type 7,LF
202-01175,202,Removal of Guardrail (Special),LF
202-01180,202,Removal of Median Barrier,LF
202-01200,202,Removal of Tensioned Cable Barrier,LF
202-01300,202,Removal of End Anchorage,EACH
202-01400,202,Removal of Cattle Guard,EACH
202-04000,202,Plug Structure,EACH
202-04001,202,Plug Culvert,EACH
202-04002,202,Clean Culvert,EACH
202-04003,202,Clean Culvert (Special),EACH
202-04004,202,Plug Culvert (Special),EACH
202-04005,202,Clean Valve Box,EACH
202-04010,202,Clean Inlet,EACH
202-04040,202,Clean Box Girder,EACH
202-04041,202,Clean Box Girder (Forms and Debris),SF
202-04042,202,Clean Box Girder (Organic Material),SF
202-04050,202,Clean Expansion Joint,LF
202-04060,202,Dust Abatement,L S
202-04100,202,Abandon Well,EACH
202-04200,202,Plug Storage Tank,EACH
202-04300,202,Removal of Underground Storage Tank,EACH
202-05000,202,Transverse Grooving,SY
202-05002,202,Sawing Concrete (2 Inch),LF
202-05004,202,Sawing Concrete (4 Inch),LF
202-05006,202,Sawing Concrete (6 Inch),LF
202-05008,202,Sawing Concrete (8 Inch),LF
202-05010,202,Sawing Concrete (10 Inch),LF
202-05011,202,Sawing Concrete (10.5 Inch),LF
202-05019,202,Sawing Concrete (Special),LF
202-05026,202,Sawing Asphalt Material (6 Inch),LF
202-05030,202,Sawing Asphalt Material (10 Inch),LF
202-05100,202,Sandblasting Reinforcing Steel,SY
202-05150,202,Sandblasting,SF
202-05300,202,Removal and Disposal of Paint,L S
202-06000,202,Removal of Detour,L S
202-06500,202,Removal of Restraining Bar,L S
202-06510,202,Removal of Inspection Car Rail,L S
202-06520,202,Removal of Existing Wall Panels,L S
202-06530,202,Clean Drain Pipe (Special),EACH
202-07000,202,Obliterate Old Road,L S
202-07100,202,Removal of Access Road (Special),L S
202-07200,202,Removal of Temporary Stream Crossing,EACH
202-11581,202,Fence (Temporary) (Special),LF
203-00000,203,Unclassified Excavation,CY
203-00005,203,Unclassified Excavation (Haul),CY
203-00010,203,Unclassified Excavation (Complete In Place),CY
203-00012,203,Unclassified Excavation (Complete In Place) (Special),CY
203-00015,203,Unclassified Excavation (Haul and Compaction),CY
203-00040,203,Unclassified Excavation (Special),CY
203-00050,203,Unsuitable Material,CY
203-00055,203,Embankment Material (Haul),CY
203-00060,203,Embankment Material (Complete In Place),CY
203-00061,203,Embankment Material (Complete In Place),TON
203-00062,203,Embankment Material (Complete In Place) (Special),CY
203-00065,203,Embankment Material (Complete In Place) (R20),CY
203-00066,203,Embankment Material (Complete In Place) (R40),CY
203-00100,203,Muck Excavation,CY
203-00105,203,Muck Excavation (Haul),CY
203-00112,203,Muck Excavation (Haul) (Special),CY
203-00200,203,Borrow,CY
203-00205,203,Borrow (Haul),CY
203-00210,203,Borrow (Complete In Place),CY
203-00215,203,Borrow (Haul and Compaction),CY
203-00310,203,Borrow (Complete In Place),TON
203-00400,203,Rock Excavation,CY
203-00405,203,Rock Excavation (Haul),CY
203-00440,203,Rock Excavation (Special),CY
203-00450,203,Rock Removal,EACH
203-00500,203,Rock Fill,CY
203-00505,203,Rock Fill (Haul),CY
203-00510,203,Rock Fill (Special),CY
203-00555,203,Rock Fill (Haul),TON
203-00590,203,Rock Placement,CY
203-00592,203,Rock Staining,SF
203-00595,203,Rock Scaling,SY
203-00596,203,Rock Scaling,L S
203-00598,203,Rock Scaling,HOUR
203-00599,203,Rock Scaler,HOUR
203-00600,203,Stripping,CY
203-00605,203,Stripping (Haul),CY
203-00700,203,Reclaim Pit,EACH
203-00705,203,Access Pit,EACH
203-00710,203,Clay Plating (Complete In Place),CY
203-00810,203,Sawdust Fill (Complete In Place),CY
203-00840,203,Expanded Polystyrene Fill,CY
203-00850,203,Expanded Polystyrene Fill (Complete In Place),CY
203-00875,203,Place Shredded Tire Fill (Complete In Place),CY
203-00900,203,Contaminated Soil Excavation,CY
203-00910,203,Contaminated Soil Excavation and Disposal (Off-Site),CY
203-01020,203,Compaction (AASHTO T 99),CY
203-01030,203,Compaction (AASHTO T 180),CY
203-01040,203,Trench Compaction,SY
203-01050,203,Dynamic Deep Compaction,CY
203-01055,203,Dynamic Deep Compaction,SY
203-01100,203,Proof Rolling,HOUR
203-01120,203,Vibratory Rolling,HOUR
203-01125,203,Drop Hammer Compactor,HOUR
203-01140,203,Rolling,HOUR
203-01200,203,Roadway Insulation Material (2 Inch),SF
203-01500,203,Blading,HOUR
203-01510,203,Backhoe,HOUR
203-01515,203,Backhoe (Landscaping),HOUR
203-01520,203,Backhoe (Special),EACH
203-01525,203,Backhoe (Special),HOUR
203-01545,203,Air Compressor (250 CFM),HOUR
203-01547,203,Air Compressor (600 CFM),HOUR
203-01548,203,Pump,DAY
203-01549,203,Pump,HOUR
203-01550,203,Dozing,HOUR
203-01551,203,Dozing (Heavy),HOUR
203-01555,203,Dozing (Landscaping),HOUR
203-01560,203,Scraping,HOUR
203-01565,203,Hydraulic Excavator,HOUR
203-01570,203,Dragline,HOUR
203-01580,203,Truck,HOUR
203-01581,203,Truck (Off Highway End Dump),HOUR
