project_number,bid_total,engineers_estimate,bid_days,start_date
C11725,4291121.42,4162315.4,223.8491318180076,2006-10-16
C11873,18936123.970000003,17101039.0,602.9935988347579,2011-12-05
C12372R,22294354.8,21959585.5,885.6031277549926,2016-01-25
C12490,5173115.36,5186935.0,125.91513664762928,2005-06-08
C12491-ALT,6110462.25,6268415.03,215.4547893748323,2007-06-23
C12560,3679885.56,2512647.75,440.0,2005-07-13
C12623,36591782.88,40123223.85,552.6275441757062,2006-09-20
C12810,1577525.55,1674015.2,139.90570738625473,2005-05-24
C12854,1992621.74,1750650.25,268.6189581816091,2009-11-09
C13003,11874901.5,11477207.47,545.6322588063935,2005-09-06
C13129R,18936708.95,19629992.6,621.181340794971,2007-01-11
C13141-ALT,29658540.2,28423183.0,1278.0,2007-11-07
C13192,48658183.42,53726855.55,816.0,2007-08-28
C13201,1136871.39,934375.2,125.91513664762928,2005-06-20
C13224R,4772309.08,5016526.75,372.0,2006-01-16
C13289,17483249.34,16509810.7,412.0,2006-07-12
C13385,7810544.479999999,9051960.0,475.6794051132661,2006-08-30
C13487RA,5167146.92,5607435.0,167.8868488635057,2007-04-02
C13506R,2856297.6,2799765.95,167.8868488635057,2005-03-18
C13579-ALT,14731461.6,12943881.6,693.0,2006-11-06
C13590,22577777.77,29060420.0,797.4625321016521,2008-02-26
C13605,1567370.35,1302477.15,179.0,2005-04-12
C13697,3475008.7,3424602.8,120.0,2005-09-19
C13808,12677252.28,14817041.45,363.7548392042624,2008-07-23
C13960,3109987.9,2946129.6,83.94342443175285,2006-06-19
C13970T-ALT A,11334604.05,11625035.56,280.0,2005-05-19
C14081,4182533.0,3779264.05,244.8349879259458,2005-11-10
C14086,1286055.5,1088541.5,125.91513664762928,2006-08-21
C14087,986717.7,1218114.2,111.9245659090038,2006-04-05
C14089-ALT,1561657.83,2008983.0,132.910422016942,2009-09-24
C14096,1009760.15,1151400.9,167.8868488635057,2005-06-21
C14136,612591.54,598671.0,100.0,2005-08-16
C14211,1210936.15,1264619.75,83.94342443175285,2005-03-28
C14214R,5628548.15,6018821.35,167.8868488635057,2006-04-10
C14234,6106038.53,5743020.0,300.7972708804477,2005-06-13
C14277,3809936.4,4468456.67,195.86799034075665,2007-07-23
C14284,70296.44,93344.29,20.98585610793821,2006-01-05
C14303R,3803294.94,3566794.5,167.8868488635057,2006-01-09
C14315,5774003.75,5741231.35,237.83970255663303,2005-10-03
C14322,565119.9,642570.0,78.34719613630266,2005-07-11
C14347R,2530719.4,2450001.5,158.0,2006-04-11
C14368,1865079.02,2143696.0,96.53493809651576,2007-03-01
C14373,1479416.28,1744387.15,104.92928053969104,2008-09-02
C14416,3921892.86,4021899.8,363.0,2006-05-30
C14417,2297514.54,2239307.1,195.86799034075665,2007-09-17
C14438,57817.0,86817.0,20.98585610793821,2005-04-15
C14440,1329494.6,1420162.2,97.93399517037832,2007-09-17
C14478,4354793.5,4421997.5,139.90570738625473,2006-02-14
C14507,2342259.14,2640096.75,48.96699758518916,2005-05-16
C14527R,1130569.0,1098533.0,62.95756832381464,2005-09-16
C14551RA-ALT,38112098.32,36992082.61,937.3682394879067,2006-12-06
C14556S,1528696.84,1555555.5,303.0,2006-09-01
C14557,8008939.59,8136315.3,391.7359806815133,2007-03-30
C14584,2059396.33,2674221.7,125.91513664762928,2005-12-08
C14598,18926154.14,17359550.0,531.641688067768,2006-08-14
C14611,781716.56,782312.6,83.94342443175285,2005-05-09
C14614,3176939.6,3982049.0,89.0,2006-05-30
C14615,1817381.45,1745685.0,97.93399517037832,2006-06-05
C14617,1721275.3,1790865.5,69.95285369312737,2006-06-19
C14620,1637466.38,1917005.0,65.0,2005-08-29
C14621,387890.95,406544.3,41.97171221587642,2005-08-01
C14623,1746398.1,1643945.5,83.94342443175285,2005-06-01
C14628,1049682.22,1059870.0,69.95285369312737,2005-07-25
C14630,2223419.03,2488037.2,160.89156349419295,2005-05-31
C14632,2555806.67,2582917.0,156.6943922726053,2005-04-25
C14633,3260892.51,3438956.0,97.93399517037832,2006-04-10
C14635,1098540.4,1048470.0,70.0,2006-06-12
C14636,3305627.05,2701476.0,120.0,2005-05-02
C14654,2926771.59,3152287.2,125.91513664762928,2008-01-07
C14663R,4668074.45,4730862.9,97.93399517037832,2005-06-01
C14683R,262263.2,284042.45,55.96228295450189,2005-09-17
C14698,5840671.25,5936906.2,125.91513664762928,2005-04-03
C14710,5045469.85,5312040.75,125.91513664762928,2005-08-01
